# Restoration Summary
# Generated: 2025-07-05T17:41:38.017532
# Restored 38 legitimate terms files

messenger: Legitimate terms document (strong: 5, legal: 5, score: 16)
shein: Legitimate terms document (strong: 7, legal: 3, score: 18)
whatsapp_business: Legitimate terms document (strong: 5, legal: 6, score: 17)
tiktok: Legitimate terms document (strong: 10, legal: 2, score: 23)
linkedin: Legitimate terms document (strong: 6, legal: 0, score: 13)
anthropic: Legitimate terms document (strong: 8, legal: 6, score: 23)
roblox: Legitimate terms document (strong: 6, legal: 1, score: 14)
clash_of_clans: Legitimate terms document (strong: 7, legal: 6, score: 21)
google_play_services: Legitimate terms document (strong: 3, legal: 1, score: 8)
lyft: Legitimate terms document (strong: 8, legal: 6, score: 23)
canva: Legitimate terms document (strong: 9, legal: 7, score: 26)
tinder: Legitimate terms document (strong: 7, legal: 6, score: 21)
whatsapp_messenger: Likely legitimate terms (strong: 2, legal: 0, score: 4)
snapchat: Legitimate terms document (strong: 5, legal: 1, score: 12)
threads: Legitimate terms document (strong: 5, legal: 1, score: 12)
airbnb: Legitimate terms document (strong: 9, legal: 6, score: 25)
hill_climb_racing: Legitimate terms document (strong: 10, legal: 6, score: 27)
waze: Legitimate terms document (strong: 7, legal: 1, score: 16)
spotify: Legitimate terms document (strong: 4, legal: 1, score: 10)
picsart: Legitimate terms document (strong: 5, legal: 6, score: 17)
paramount: Legitimate terms document (strong: 9, legal: 3, score: 21)
microsoft_outlook: Legitimate terms document (strong: 4, legal: 0, score: 9)
free_fire: Legitimate terms document (strong: 4, legal: 0, score: 8)
prime_video: Legitimate terms document (strong: 5, legal: 6, score: 17)
google_chrome: Legitimate terms document (strong: 5, legal: 1, score: 11)
google_photos: Legitimate terms document (strong: 3, legal: 1, score: 7)
adult_friend_finder: Legitimate terms document (strong: 6, legal: 2, score: 14)
bumble: Legitimate terms document (strong: 6, legal: 5, score: 18)
google_maps: Legitimate terms document (strong: 6, legal: 4, score: 17)
netflix: Legitimate terms document (strong: 5, legal: 2, score: 12)
max: Legitimate terms document (strong: 8, legal: 1, score: 18)
google_docs: Legitimate terms document (strong: 4, legal: 1, score: 9)
google_search: Legitimate terms document (strong: 5, legal: 2, score: 12)
fortnite: Legitimate terms document (strong: 8, legal: 6, score: 23)
google_calendar: Legitimate terms document (strong: 5, legal: 1, score: 11)
capcut: Legitimate terms document (strong: 8, legal: 4, score: 21)
duolingo: Legitimate terms document (strong: 4, legal: 2, score: 10)
hulu: Legitimate terms document (strong: 2, legal: 1, score: 6)
